,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All Accounts Gain/Loss Detail,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Previous Year Realized Gain/Loss for All Accounts as of 06/04/26 06:42:01 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Account Number,Name,Symbol,CUSIP,Quantity,Date Acquired,Holding Period,Date Sold,Unit Cost($),Wash Sale Cost Adj($),Total Cost($),Adjusted Cost($),Proceeds($),Realized Gain/Loss($),Realized Gain/Loss(%),Wash Sale Disallowed($),Covered Indicator,Wash Sale Indicator
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,3.08,2019-12-05 00:00:00,Long,2025-07-25 00:00:00,10.82143,0,33.33,33.33,32.43,-0.9,-2.7002700270027002,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,0.624,2019-12-05 00:00:00,Long,2025-07-25 00:00:00,10.81731,0,6.75,6.75,6.57,-0.18,-2.666666666666667,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,0.618,2020-12-08 00:00:00,Long,2025-07-25 00:00:00,11.2945,0,6.98,6.98,6.51,-0.47,-6.73352435530086,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,0.305,2021-12-07 00:00:00,Long,2025-07-25 00:00:00,11.67213,0,3.56,3.56,3.22,-0.34,-9.550561797752808,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,0.397,2021-12-07 00:00:00,Long,2025-07-25 00:00:00,11.66247,0,4.63,4.63,4.18,-0.45,-9.719222462203023,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,1.524,2021-12-07 00:00:00,Long,2025-07-25 00:00:00,11.67323,0,17.79,17.79,16.04,-1.75,-9.83698707138842,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,2.918,2022-12-06 00:00:00,Long,2025-07-25 00:00:00,11.74092,0,34.26,34.26,30.72,-3.54,-10.332749562171628,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,3.041,2022-12-06 00:00:00,Long,2025-07-25 00:00:00,11.73956,0,35.7,35.7,32.02,-3.68,-10.308123249299719,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,9.993,2022-12-06 00:00:00,Long,2025-07-25 00:00:00,11.74022,0,117.32,117.32,105.23,-12.09,-10.305148312308216,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,2.452,2023-12-07 00:00:00,Long,2025-07-25 00:00:00,11.08891,0,27.19,27.19,25.82,-1.37,-5.038617138653917,0,,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,58.676,2019-12-05 00:00:00,Long,2025-06-09 00:00:00,10.8201,0,634.88,634.88,612.58,-22.3,-3.512474798387097,0,C,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,42.34,2019-12-05 00:00:00,Long,2025-06-09 00:00:00,10.82003,0,458.12,458.12,442.03,-16.09,-3.5121802147908845,0,C,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,58.585,2020-12-08 00:00:00,Long,2025-06-09 00:00:00,11.29009,0,661.43,661.43,611.63,-49.8,-7.529141405742105,0,C,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,18.773,2021-12-07 00:00:00,Long,2025-06-09 00:00:00,11.66995,0,219.08,219.08,195.99,-23.09,-10.539528939200292,0,C,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,24.417,2021-12-07 00:00:00,Long,2025-06-09 00:00:00,11.67015,0,284.95,284.95,254.91,-30.04,-10.542200386032636,0,C,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,93.753,2021-12-07 00:00:00,Long,2025-06-09 00:00:00,11.67003,0,1094.1,1094.1,978.78,-115.32,-10.54017000274198,0,C,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,125.41,2022-12-06 00:00:00,Long,2025-06-09 00:00:00,11.73997,0,1472.31,1472.31,1309.28,-163.03,-11.073075643037132,0,C,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,130.675,2022-12-06 00:00:00,Long,2025-06-09 00:00:00,11.73997,0,1534.12,1534.12,1364.25,-169.87,-11.072797434359764,0,C,
